Name,Geo Place Name,Start_Date,Data Value
Annual vehicle miles traveled,Chelsea - Clinton,2019,136.0
Annual vehicle miles traveled,Clinton and Chelsea (CD4),2005,120.7
Annual vehicle miles traveled,Clinton and Chelsea (CD4),2010,125.5
Annual vehicle miles traveled,Clinton and Chelsea (CD4),2019,161.5
Annual vehicle miles traveled,Coney Island (CD13),2005,31.9
Annual vehicle miles traveled,Coney Island (CD13),2010,43.9
Annual vehicle miles traveled,Coney Island (CD13),2019,41.0
Annual vehicle miles traveled,Coney Island - Sheepshead Bay,2005,35.8
Annual vehicle miles traveled,Coney Island - Sheepshead Bay,2010,44.0
Annual vehicle miles traveled,Coney Island - Sheepshead Bay,2019,44.5
Annual vehicle miles traveled,Crotona -Tremont,2005,80.2
Annual vehicle miles traveled,Crotona -Tremont,2010,91.5
Annual vehicle miles traveled,Crotona -Tremont,2019,102.3
Annual vehicle miles traveled,Crown Heights and Prospect Heights (CD8),2005,72.1
Annual vehicle miles traveled,Crown Heights and Prospect Heights (CD8),2010,64.7
Annual vehicle miles traveled,Crown Heights and Prospect Heights (CD8),2019,88.1
Annual vehicle miles traveled,Downtown - Heights - Slope,2005,90.1
Annual vehicle miles traveled,Downtown - Heights - Slope,2010,95.8
Annual vehicle miles traveled,Downtown - Heights - Slope,2019,126.8
Annual vehicle miles traveled,East Flatbush (CD17),2005,99.0
Annual vehicle miles traveled,East Flatbush (CD17),2010,56.6
Annual vehicle miles traveled,East Flatbush (CD17),2019,65.4
Annual vehicle miles traveled,East Flatbush - Flatbush,2005,74.8
Annual vehicle miles traveled,East Flatbush - Flatbush,2010,52.7
Annual vehicle miles traveled,East Flatbush - Flatbush,2019,60.2
Annual vehicle miles traveled,East Harlem,2005,108.9
Annual vehicle miles traveled,East Harlem,2010,146.0
Annual vehicle miles traveled,East Harlem,2019,147.9
Annual vehicle miles traveled,East Harlem (CD11),2005,110.8
Annual vehicle miles traveled,East Harlem (CD11),2010,151.6
Annual vehicle miles traveled,East Harlem (CD11),2019,152.6
Annual vehicle miles traveled,East New York,2005,55.5
Annual vehicle miles traveled,East New York,2010,47.5
Annual vehicle miles traveled,East New York,2019,55.4
Annual vehicle miles traveled,East New York and Starrett City (CD5),2005,55.3
Annual vehicle miles traveled,East New York and Starrett City (CD5),2010,51.1
Annual vehicle miles traveled,East New York and Starrett City (CD5),2019,58.1
Annual vehicle miles traveled,Elmhurst and Corona (CD4),2005,78.0
Annual vehicle miles traveled,Elmhurst and Corona (CD4),2010,100.0
Annual vehicle miles traveled,Elmhurst and Corona (CD4),2019,80.9
Annual vehicle miles traveled,Financial District (CD1),2005,98.4
Annual vehicle miles traveled,Financial District (CD1),2010,92.7
Annual vehicle miles traveled,Financial District (CD1),2019,116.3
Annual vehicle miles traveled,Flatbush and Midwood (CD14),2005,66.4
Annual vehicle miles traveled,Flatbush and Midwood (CD14),2010,50.2
Annual vehicle miles traveled,Flatbush and Midwood (CD14),2019,57.2
Annual vehicle miles traveled,Flatlands and Canarsie (CD18),2005,39.8
Annual vehicle miles traveled,Flatlands and Canarsie (CD18),2010,38.5
Annual vehicle miles traveled,Flatlands and Canarsie (CD18),2019,44.4
Annual vehicle miles traveled,Flushing - Clearview,2005,38.5
Annual vehicle miles traveled,Flushing - Clearview,2010,53.1
Annual vehicle miles traveled,Flushing - Clearview,2019,42.3
Annual vehicle miles traveled,Flushing and Whitestone (CD7),2005,38.1
Annual vehicle miles traveled,Flushing and Whitestone (CD7),2010,52.8
Annual vehicle miles traveled,Flushing and Whitestone (CD7),2019,42.8
Annual vehicle miles traveled,Fordham - Bronx Pk,2005,57.3
Annual vehicle miles traveled,Fordham - Bronx Pk,2010,53.7
Annual vehicle miles traveled,Fordham - Bronx Pk,2019,60.0
Annual vehicle miles traveled,Fordham and University Heights (CD5),2005,105.5
Annual vehicle miles traveled,Fordham and University Heights (CD5),2010,95.0
Annual vehicle miles traveled,Fordham and University Heights (CD5),2019,101.0
Annual vehicle miles traveled,Fort Greene and Brooklyn Heights (CD2),2005,104.1
Annual vehicle miles traveled,Fort Greene and Brooklyn Heights (CD2),2010,110.7
Annual vehicle miles traveled,Fort Greene and Brooklyn Heights (CD2),2019,146.1
Annual vehicle miles traveled,Fresh Meadows,2005,62.0
Annual vehicle miles traveled,Fresh Meadows,2010,95.5
Annual vehicle miles traveled,Fresh Meadows,2019,80.9
Annual vehicle miles traveled,Gramercy Park - Murray Hill,2005,185.6
Annual vehicle miles traveled,Gramercy Park - Murray Hill,2010,173.4
Annual vehicle miles traveled,Gramercy Park - Murray Hill,2019,188.2
Annual vehicle miles traveled,Greenpoint,2005,63.2
Annual vehicle miles traveled,Greenpoint,2010,70.7
Annual vehicle miles traveled,Greenpoint,2019,88.6
Annual vehicle miles traveled,Greenpoint and Williamsburg (CD1),2005,58.5
Annual vehicle miles traveled,Greenpoint and Williamsburg (CD1),2010,63.8
Annual vehicle miles traveled,Greenpoint and Williamsburg (CD1),2019,80.2
Annual vehicle miles traveled,Greenwich Village - SoHo,2005,132.6
Annual vehicle miles traveled,Greenwich Village - SoHo,2010,124.5
Annual vehicle miles traveled,Greenwich Village - SoHo,2019,142.9
Annual vehicle miles traveled,Greenwich Village and Soho (CD2),2005,119.9
Annual vehicle miles traveled,Greenwich Village and Soho (CD2),2010,99.9
Annual vehicle miles traveled,Greenwich Village and Soho (CD2),2019,120.2
Annual vehicle miles traveled,High Bridge - Morrisania,2005,79.6
Annual vehicle miles traveled,High Bridge - Morrisania,2010,77.1
Annual vehicle miles traveled,High Bridge - Morrisania,2019,81.6
Annual vehicle miles traveled,Highbridge and Concourse (CD4),2005,93.9
Annual vehicle miles traveled,Highbridge and Concourse (CD4),2010,90.6
Annual vehicle miles traveled,Highbridge and Concourse (CD4),2019,96.1
Annual vehicle miles traveled,Hillcrest and Fresh Meadows (CD8),2005,63.0
Annual vehicle miles traveled,Hillcrest and Fresh Meadows (CD8),2010,93.5
Annual vehicle miles traveled,Hillcrest and Fresh Meadows (CD8),2019,78.7
Annual vehicle miles traveled,Hunts Point - Mott Haven,2005,42.7
Annual vehicle miles traveled,Hunts Point - Mott Haven,2010,50.5
Annual vehicle miles traveled,Hunts Point - Mott Haven,2019,57.4
Annual vehicle miles traveled,Hunts Point and Longwood (CD2),2005,37.9
Annual vehicle miles traveled,Hunts Point and Longwood (CD2),2010,44.8
Annual vehicle miles traveled,Hunts Point and Longwood (CD2),2019,51.4
Annual vehicle miles traveled,Jackson Heights (CD3),2005,64.2
Annual vehicle miles traveled,Jackson Heights (CD3),2010,84.3
Annual vehicle miles traveled,Jackson Heights (CD3),2019,76.1
Annual vehicle miles traveled,Jamaica,2005,41.0
Annual vehicle miles traveled,Jamaica,2010,52.8
Annual vehicle miles traveled,Jamaica,2019,47.8
Annual vehicle miles traveled,Jamaica and Hollis (CD12),2005,41.6
Annual vehicle miles traveled,Jamaica and Hollis (CD12),2010,44.4
Annual vehicle miles traveled,Jamaica and Hollis (CD12),2019,39.3
Annual vehicle miles traveled,Kew Gardens and Woodhaven (CD9),2005,47.8
Annual vehicle miles traveled,Kew Gardens and Woodhaven (CD9),2010,55.8
Annual vehicle miles traveled,Kew Gardens and Woodhaven (CD9),2019,48.0
Annual vehicle miles traveled,Kingsbridge - Riverdale,2005,45.2
Annual vehicle miles traveled,Kingsbridge - Riverdale,2010,70.0
Annual vehicle miles traveled,Kingsbridge - Riverdale,2019,80.8
Annual vehicle miles traveled,Kingsbridge Heights and Bedford (CD7),2005,73.4
Annual vehicle miles traveled,Kingsbridge Heights and Bedford (CD7),2010,66.6
Annual vehicle miles traveled,Kingsbridge Heights and Bedford (CD7),2019,70.5
Annual vehicle miles traveled,Long Island City - Astoria,2005,43.7
Annual vehicle miles traveled,Long Island City - Astoria,2010,59.6
Annual vehicle miles traveled,Long Island City - Astoria,2019,63.8
Annual vehicle miles traveled,Long Island City and Astoria (CD1),2005,33.6
Annual vehicle miles traveled,Long Island City and Astoria (CD1),2010,43.2
Annual vehicle miles traveled,Long Island City and Astoria (CD1),2019,43.5
Annual vehicle miles traveled,Lower East Side and Chinatown (CD3),2005,134.8
Annual vehicle miles traveled,Lower East Side and Chinatown (CD3),2010,129.3
Annual vehicle miles traveled,Lower East Side and Chinatown (CD3),2019,139.0
Annual vehicle miles traveled,Lower Manhattan,2005,95.4
Annual vehicle miles traveled,Lower Manhattan,2010,91.5
Annual vehicle miles traveled,Lower Manhattan,2019,112.3
Annual vehicle miles traveled,Manhattan,2005,108.4
Annual vehicle miles traveled,Manhattan,2010,114.7
Annual vehicle miles traveled,Manhattan,2019,129.5
Annual vehicle miles traveled,Midtown (CD5),2005,138.1
Annual vehicle miles traveled,Midtown (CD5),2010,80.6
Annual vehicle miles traveled,Midtown (CD5),2019,94.8
Annual vehicle miles traveled,Morningside Heights and Hamilton Heights (CD9),2005,88.8
Annual vehicle miles traveled,Morningside Heights and Hamilton Heights (CD9),2010,115.6
Annual vehicle miles traveled,Morningside Heights and Hamilton Heights (CD9),2019,133.1
Annual vehicle miles traveled,Morris Park and Bronxdale (CD11),2005,31.8
Annual vehicle miles traveled,Morris Park and Bronxdale (CD11),2010,34.2
Annual vehicle miles traveled,Morris Park and Bronxdale (CD11),2019,38.1
Annual vehicle miles traveled,Morrisania and Crotona (CD3),2005,35.9
Annual vehicle miles traveled,Morrisania and Crotona (CD3),2010,33.2
Annual vehicle miles traveled,Morrisania and Crotona (CD3),2019,43.4
Annual vehicle miles traveled,Mott Haven and Melrose (CD1),2005,68.6
Annual vehicle miles traveled,Mott Haven and Melrose (CD1),2010,75.6
Annual vehicle miles traveled,Mott Haven and Melrose (CD1),2019,83.9
Annual vehicle miles traveled,New York City,2005,49.2
Annual vehicle miles traveled,New York City,2010,57.0
Annual vehicle miles traveled,New York City,2019,59.6
Annual vehicle miles traveled,Northeast Bronx,2005,38.8
Annual vehicle miles traveled,Northeast Bronx,2010,43.0
Annual vehicle miles traveled,Northeast Bronx,2019,47.7
Annual vehicle miles traveled,Park Slope and Carroll Gardens (CD6),2005,68.1
Annual vehicle miles traveled,Park Slope and Carroll Gardens (CD6),2010,66.7
Annual vehicle miles traveled,Park Slope and Carroll Gardens (CD6),2019,93.0
Annual vehicle miles traveled,Parkchester and Soundview (CD9),2005,54.8
Annual vehicle miles traveled,Parkchester and Soundview (CD9),2010,63.2
Annual vehicle miles traveled,Parkchester and Soundview (CD9),2019,74.0
Annual vehicle miles traveled,Pelham - Throgs Neck,2005,41.2
Annual vehicle miles traveled,Pelham - Throgs Neck,2010,59.7
Annual vehicle miles traveled,Pelham - Throgs Neck,2019,64.5
Annual vehicle miles traveled,Port Richmond,2005,17.6
Annual vehicle miles traveled,Port Richmond,2010,16.9
Annual vehicle miles traveled,Port Richmond,2019,17.0
Annual vehicle miles traveled,Queens,2005,47.7
Annual vehicle miles traveled,Queens,2010,62.9
Annual vehicle miles traveled,Queens,2019,57.5
Annual vehicle miles traveled,Queens Village (CD13),2005,59.4
Annual vehicle miles traveled,Queens Village (CD13),2010,77.2
Annual vehicle miles traveled,Queens Village (CD13),2019,74.9
Annual vehicle miles traveled,Rego Park and Forest Hills (CD6),2005,91.2
Annual vehicle miles traveled,Rego Park and Forest Hills (CD6),2010,116.6
Annual vehicle miles traveled,Rego Park and Forest Hills (CD6),2019,92.1
Annual vehicle miles traveled,Ridgewood - Forest Hills,2005,59.6
Annual vehicle miles traveled,Ridgewood - Forest Hills,2010,70.6
Annual vehicle miles traveled,Ridgewood - Forest Hills,2019,66.5
Annual vehicle miles traveled,Ridgewood and Maspeth (CD5),2005,49.4
Annual vehicle miles traveled,Ridgewood and Maspeth (CD5),2010,52.2
Annual vehicle miles traveled,Ridgewood and Maspeth (CD5),2019,60.3
Annual vehicle miles traveled,Riverdale and Fieldston (CD8),2005,32.5
Annual vehicle miles traveled,Riverdale and Fieldston (CD8),2010,40.2
Annual vehicle miles traveled,Riverdale and Fieldston (CD8),2019,56.0
Annual vehicle miles traveled,Rockaway and Broad Channel (CD14),2005,13.8
Annual vehicle miles traveled,Rockaway and Broad Channel (CD14),2010,16.9
Annual vehicle miles traveled,Rockaway and Broad Channel (CD14),2019,15.1
Annual vehicle miles traveled,Rockaways,2005,13.7
Annual vehicle miles traveled,Rockaways,2010,16.3
Annual vehicle miles traveled,Rockaways,2019,14.0
Annual vehicle miles traveled,Sheepshead Bay (CD15),2005,42.9
Annual vehicle miles traveled,Sheepshead Bay (CD15),2010,54.0
Annual vehicle miles traveled,Sheepshead Bay (CD15),2019,55.3
Annual vehicle miles traveled,South Beach - Tottenville,2005,14.3
Annual vehicle miles traveled,South Beach - Tottenville,2010,15.0
Annual vehicle miles traveled,South Beach - Tottenville,2019,13.0
Annual vehicle miles traveled,South Beach and Willowbrook (CD2),2005,25.6
Annual vehicle miles traveled,South Beach and Willowbrook (CD2),2010,27.4
Annual vehicle miles traveled,South Beach and Willowbrook (CD2),2019,26.9
Annual vehicle miles traveled,South Crown Heights and Lefferts Gardens (CD9),2005,77.0
Annual vehicle miles traveled,South Crown Heights and Lefferts Gardens (CD9),2010,57.2
Annual vehicle miles traveled,South Crown Heights and Lefferts Gardens (CD9),2019,61.5
Annual vehicle miles traveled,South Ozone Park and Howard Beach (CD10),2005,55.6
Annual vehicle miles traveled,South Ozone Park and Howard Beach (CD10),2010,80.5
Annual vehicle miles traveled,South Ozone Park and Howard Beach (CD10),2019,76.8
Annual vehicle miles traveled,Southeast Queens,2005,54.7
Annual vehicle miles traveled,Southeast Queens,2010,70.5
Annual vehicle miles traveled,Southeast Queens,2019,67.1
Annual vehicle miles traveled,Southwest Queens,2005,49.6
Annual vehicle miles traveled,Southwest Queens,2010,65.8
Annual vehicle miles traveled,Southwest Queens,2019,57.8
Annual vehicle miles traveled,St. George and Stapleton (CD1),2005,25.5
Annual vehicle miles traveled,St. George and Stapleton (CD1),2010,27.2
Annual vehicle miles traveled,St. George and Stapleton (CD1),2019,31.9
Annual vehicle miles traveled,Stapleton - St. George,2005,29.3
Annual vehicle miles traveled,Stapleton - St. George,2010,31.0
Annual vehicle miles traveled,Stapleton - St. George,2019,33.3
Annual vehicle miles traveled,Staten Island,2005,20.8
Annual vehicle miles traveled,Staten Island,2010,22.6
Annual vehicle miles traveled,Staten Island,2019,22.9
Annual vehicle miles traveled,Stuyvesant Town and Turtle Bay (CD6),2005,176.7
Annual vehicle miles traveled,Stuyvesant Town and Turtle Bay (CD6),2010,178.6
Annual vehicle miles traveled,Stuyvesant Town and Turtle Bay (CD6),2019,191.2
Annual vehicle miles traveled,Sunset Park,2005,59.9
Annual vehicle miles traveled,Sunset Park,2010,73.4
Annual vehicle miles traveled,Sunset Park,2019,101.6
Annual vehicle miles traveled,Sunset Park (CD7),2005,69.8
Annual vehicle miles traveled,Sunset Park (CD7),2010,90.1
Annual vehicle miles traveled,Sunset Park (CD7),2019,120.7
Annual vehicle miles traveled,Throgs Neck and Co-op City (CD10),2005,43.8
Annual vehicle miles traveled,Throgs Neck and Co-op City (CD10),2010,73.6
Annual vehicle miles traveled,Throgs Neck and Co-op City (CD10),2019,73.9
Annual vehicle miles traveled,Tottenville and Great Kills (CD3),2005,13.0
Annual vehicle miles traveled,Tottenville and Great Kills (CD3),2010,14.7
Annual vehicle miles traveled,Tottenville and Great Kills (CD3),2019,12.9
Annual vehicle miles traveled,Union Square - Lower East Side,2005,123.8
Annual vehicle miles traveled,Union Square - Lower East Side,2010,112.8
Annual vehicle miles traveled,Union Square - Lower East Side,2019,124.4
Annual vehicle miles traveled,Upper East Side,2005,125.0
Annual vehicle miles traveled,Upper East Side,2010,129.3
Annual vehicle miles traveled,Upper East Side,2019,124.6
Annual vehicle miles traveled,Upper East Side (CD8),2005,139.0
Annual vehicle miles traveled,Upper East Side (CD8),2010,143.0
Annual vehicle miles traveled,Upper East Side (CD8),2019,138.6
Annual vehicle miles traveled,Upper West Side,2005,103.2
Annual vehicle miles traveled,Upper West Side,2010,127.4
Annual vehicle miles traveled,Upper West Side,2019,143.5
Annual vehicle miles traveled,Upper West Side (CD7),2005,104.6
Annual vehicle miles traveled,Upper West Side (CD7),2010,127.1
Annual vehicle miles traveled,Upper West Side (CD7),2019,143.4
Annual vehicle miles traveled,Washington Heights,2005,88.6
Annual vehicle miles traveled,Washington Heights,2010,115.9
Annual vehicle miles traveled,Washington Heights,2019,143.1
Annual vehicle miles traveled,Washington Heights and Inwood (CD12),2005,90.9
Annual vehicle miles traveled,Washington Heights and Inwood (CD12),2010,120.9
Annual vehicle miles traveled,Washington Heights and Inwood (CD12),2019,151.5
Annual vehicle miles traveled,West Queens,2005,84.9
Annual vehicle miles traveled,West Queens,2010,111.6
Annual vehicle miles traveled,West Queens,2019,103.9
Annual vehicle miles traveled,Williamsbridge and Baychester (CD12),2005,43.6
Annual vehicle miles traveled,Williamsbridge and Baychester (CD12),2010,48.2
Annual vehicle miles traveled,Williamsbridge and Baychester (CD12),2019,54.8
Annual vehicle miles traveled,Williamsburg - Bushwick,2005,44.2
Annual vehicle miles traveled,Williamsburg - Bushwick,2010,39.7
Annual vehicle miles traveled,Williamsburg - Bushwick,2019,49.8
Annual vehicle miles traveled,Willowbrook,2005,26.4
Annual vehicle miles traveled,Willowbrook,2010,31.0
Annual vehicle miles traveled,Willowbrook,2019,34.3
Annual vehicle miles traveled,Woodside and Sunnyside (CD2),2005,78.1
Annual vehicle miles traveled,Woodside and Sunnyside (CD2),2010,108.5
Annual vehicle miles traveled,Woodside and Sunnyside (CD2),2019,113.9
Annual vehicle miles traveled (cars),Bay Ridge and Dyker Heights (CD10),2005,54.6
Annual vehicle miles traveled (cars),Bay Ridge and Dyker Heights (CD10),2010,65.2
Annual vehicle miles traveled (cars),Bay Ridge and Dyker Heights (CD10),2019,77.2
Annual vehicle miles traveled (cars),Bayside - Little Neck,2005,57.1
Annual vehicle miles traveled (cars),Bayside - Little Neck,2010,81.0
Annual vehicle miles traveled (cars),Bayside - Little Neck,2019,74.1
Annual vehicle miles traveled (cars),Bayside and Little Neck (CD11),2005,55.3
Annual vehicle miles traveled (cars),Bayside and Little Neck (CD11),2010,76.4
Annual vehicle miles traveled (cars),Bayside and Little Neck (CD11),2019,67.6
Annual vehicle miles traveled (cars),Bedford Stuyvesant (CD3),2005,66.4
Annual vehicle miles traveled (cars),Bedford Stuyvesant (CD3),2010,53.1
Annual vehicle miles traveled (cars),Bedford Stuyvesant (CD3),2019,64.3
Annual vehicle miles traveled (cars),Bedford Stuyvesant - Crown Heights,2005,91.5
Annual vehicle miles traveled (cars),Bedford Stuyvesant - Crown Heights,2010,61.5
Annual vehicle miles traveled (cars),Bedford Stuyvesant - Crown Heights,2019,77.6
Annual vehicle miles traveled (cars),Belmont and East Tremont (CD6),2005,64.5
Annual vehicle miles traveled (cars),Belmont and East Tremont (CD6),2010,86.5
Annual vehicle miles traveled (cars),Belmont and East Tremont (CD6),2019,93.2
Annual vehicle miles traveled (cars),Bensonhurst (CD11),2005,38.4
Annual vehicle miles traveled (cars),Bensonhurst (CD11),2010,42.5
Annual vehicle miles traveled (cars),Bensonhurst (CD11),2019,46.0
Annual vehicle miles traveled (cars),Bensonhurst - Bay Ridge,2005,44.8
Annual vehicle miles traveled (cars),Bensonhurst - Bay Ridge,2010,56.7
Annual vehicle miles traveled (cars),Bensonhurst - Bay Ridge,2019,63.2
Annual vehicle miles traveled (cars),Borough Park,2005,54.9
Annual vehicle miles traveled (cars),Borough Park,2010,59.0
Annual vehicle miles traveled (cars),Borough Park,2019,66.2
Annual vehicle miles traveled (cars),Borough Park (CD12),2005,55.2
Annual vehicle miles traveled (cars),Borough Park (CD12),2010,59.9
Annual vehicle miles traveled (cars),Borough Park (CD12),2019,67.4
Annual vehicle miles traveled (cars),Bronx,2005,45.0
Annual vehicle miles traveled (cars),Bronx,2010,54.2
Annual vehicle miles traveled (cars),Bronx,2019,59.3
Annual vehicle miles traveled (cars),Brooklyn,2005,52.8
Annual vehicle miles traveled (cars),Brooklyn,2010,52.8
Annual vehicle miles traveled (cars),Brooklyn,2019,62.1
Annual vehicle miles traveled (cars),Brownsville (CD16),2005,83.3
Annual vehicle miles traveled (cars),Brownsville (CD16),2010,59.1
Annual vehicle miles traveled (cars),Brownsville (CD16),2019,71.9
Annual vehicle miles traveled (cars),Bushwick (CD4),2005,35.3
Annual vehicle miles traveled (cars),Bushwick (CD4),2010,39.4
Annual vehicle miles traveled (cars),Bushwick (CD4),2019,48.2
Annual vehicle miles traveled (cars),Canarsie - Flatlands,2005,34.3
Annual vehicle miles traveled (cars),Canarsie - Flatlands,2010,42.3
Annual vehicle miles traveled (cars),Canarsie - Flatlands,2019,45.3
Annual vehicle miles traveled (cars),Central Harlem (CD10),2005,61.5
Annual vehicle miles traveled (cars),Central Harlem (CD10),2010,67.6
Annual vehicle miles traveled (cars),Central Harlem (CD10),2019,78.1
Annual vehicle miles traveled (cars),Central Harlem - Morningside Heights,2005,73.7
Annual vehicle miles traveled (cars),Central Harlem - Morningside Heights,2010,90.7
Annual vehicle miles traveled (cars),Central Harlem - Morningside Heights,2019,100.7
Annual vehicle miles traveled (cars),Chelsea - Clinton,2005,114.9
Annual vehicle miles traveled (cars),Chelsea - Clinton,2010,91.8
Annual vehicle miles traveled (cars),Chelsea - Clinton,2019,118.3
Annual vehicle miles traveled (cars),Clinton and Chelsea (CD4),2005,111.0
Annual vehicle miles traveled (cars),Clinton and Chelsea (CD4),2010,110.4
Annual vehicle miles traveled (cars),Clinton and Chelsea (CD4),2019,147.4
Annual vehicle miles traveled (cars),Coney Island (CD13),2005,30.5
Annual vehicle miles traveled (cars),Coney Island (CD13),2010,42.8
Annual vehicle miles traveled (cars),Coney Island (CD13),2019,39.3
Annual vehicle miles traveled (cars),Coney Island - Sheepshead Bay,2005,33.7
Annual vehicle miles traveled (cars),Coney Island - Sheepshead Bay,2010,42.5
Annual vehicle miles traveled (cars),Coney Island - Sheepshead Bay,2019,42.2
Annual vehicle miles traveled (cars),Crotona -Tremont,2005,74.1
Annual vehicle miles traveled (cars),Crotona -Tremont,2010,80.8
Annual vehicle miles traveled (cars),Crotona -Tremont,2019,90.5
Annual vehicle miles traveled (cars),Crown Heights and Prospect Heights (CD8),2005,69.2
Annual vehicle miles traveled (cars),Crown Heights and Prospect Heights (CD8),2010,61.6
Annual vehicle miles traveled (cars),Crown Heights and Prospect Heights (CD8),2019,82.7
Annual vehicle miles traveled (cars),Downtown - Heights - Slope,2005,83.9
Annual vehicle miles traveled (cars),Downtown - Heights - Slope,2010,87.4
Annual vehicle miles traveled (cars),Downtown - Heights - Slope,2019,116.2
Annual vehicle miles traveled (cars),East Flatbush (CD17),2005,95.2
Annual vehicle miles traveled (cars),East Flatbush (CD17),2010,53.9
Annual vehicle miles traveled (cars),East Flatbush (CD17),2019,61.5
Annual vehicle miles traveled (cars),East Flatbush - Flatbush,2005,71.9
Annual vehicle miles traveled (cars),East Flatbush - Flatbush,2010,50.2
Annual vehicle miles traveled (cars),East Flatbush - Flatbush,2019,56.6
Annual vehicle miles traveled (cars),East Harlem,2005,102.5
Annual vehicle miles traveled (cars),East Harlem,2010,136.6
Annual vehicle miles traveled (cars),East Harlem,2019,135.8
Annual vehicle miles traveled (cars),East Harlem (CD11),2005,104.8
Annual vehicle miles traveled (cars),East Harlem (CD11),2010,142.5
Annual vehicle miles traveled (cars),East Harlem (CD11),2019,140.8
Annual vehicle miles traveled (cars),East New York,2005,48.8
Annual vehicle miles traveled (cars),East New York,2010,45.2
Annual vehicle miles traveled (cars),East New York,2019,51.7
Annual vehicle miles traveled (cars),East New York and Starrett City (CD5),2005,48.8
Annual vehicle miles traveled (cars),East New York and Starrett City (CD5),2010,48.9
Annual vehicle miles traveled (cars),East New York and Starrett City (CD5),2019,54.7
Annual vehicle miles traveled (cars),Elmhurst and Corona (CD4),2005,72.9
Annual vehicle miles traveled (cars),Elmhurst and Corona (CD4),2010,94.2
Annual vehicle miles traveled (cars),Elmhurst and Corona (CD4),2019,73.5
Annual vehicle miles traveled (cars),Financial District (CD1),2005,91.6
Annual vehicle miles traveled (cars),Financial District (CD1),2010,80.6
Annual vehicle miles traveled (cars),Financial District (CD1),2019,103.7
Annual vehicle miles traveled (cars),Flatbush and Midwood (CD14),2005,63.0
